Plate_2BOANAYR88,,,,,,,,,,,,,,,
Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
S006,IL-4,F12,5,,0.805664063,1691,1691,1845,1845,11.80427581,90.55799481,98.98532176,0.72959322,0.797489165,12.04020946
S006,IL-5,F01,6,,2.08984375,1615,1615,1586,1586,2.585888607,99.64776169,97.66220185,2.08248252,2.040987421,2.875222557
S006,IL-5,F12,6,,2.08984375,1557,1557,1586,1586,2.585888607,95.67664201,97.66220185,1.999492323,2.040987421,2.875222557
S006,IL-6,F01,7,,1.015625,546,546,522,522,6.502131321,105.3295452,99.64090416,1.069753193,1.011977933,8.073946488
S006,IL-6,F12,7,,1.015625,498,498,522,522,6.502131321,93.95226314,99.64090416,0.954202672,1.011977933,8.073946488
S006,MCP-1,F01,9,,2.63671875,1022,1022,871,870.5,24.61267716,116.4550308,100.0912706,3.070591632,2.6391253,23.1207491
S006,MCP-1,F12,9,,2.63671875,719,719,871,870.5,24.61267716,83.72751046,100.0912706,2.207658967,2.6391253,23.1207491
S006,TNF-α,F01,10,,1.323242188,1763,1763,1553,1552.5,19.17500515,116.390988,100.7934851,1.540134656,1.333741918,21.88454946
S006,TNF-α,F12,10,,1.323242188,1342,1342,1553,1552.5,19.17500515,85.19598226,100.7934851,1.127349179,1.333741918,21.88454946
S007,GM-CSF,G01,1,,1.127929688,1441,1441,1384,1383.5,5.877649428,106.770188,102.264295,1.204292647,1.153469343,6.23120214
S007,GM-CSF,G12,1,,1.127929688,1326,1326,1384,1383.5,5.877649428,97.75840204,102.264295,1.102646039,1.153469343,6.23120214
S007,IFN-γ,G01,2,,3.918457031,291,291,301,300.5,4.470891462,94.9347934,100.4158562,3.719979087,3.934752176,7.719292137
S007,IFN-γ,G12,2,,3.918457031,310,310,301,300.5,4.470891462,105.8969189,100.4158562,4.149525265,3.934752176,7.719292137
S007,IL-10,G01,8,,0.491943359,736,736,636,635.5,22.36482502,123.6451288,102.7209704,0.608264,0.505328993,28.80738806
S007,IL-10,G12,8,,0.491943359,535,535,636,635.5,22.36482502,81.79681205,102.7209704,0.402393985,0.505328993,28.80738806
S007,IL-1β,G01,3,,0.541992188,491,491,519,519,7.629668545,81.66827442,87.4486569,0.442635667,0.473964888,9.34799411
S007,IL-1β,G12,3,,0.541992188,547,547,519,519,7.629668545,93.22903938,87.4486569,0.50529411,0.473964888,9.34799411
S007,IL-2,G01,4,,0.230712891,330,330,287,287,21.18856557,258.7929513,173.0142976,0.597068699,0.399166287,70.11520842
S007,IL-2,G12,4,,0.230712891,244,244,287,287,21.18856557,87.23564396,173.0142976,0.201263876,0.399166287,70.11520842
S007,IL-4,G01,5,,0.201416016,635,635,525,524.5,29.79420374,125.6939482,99.97672428,0.253167742,0.201369135,36.37811416
